time_period,total_load,cell_barring
274,45,1
275,45,1
276,45,1
277,45,1
278,45,1
279,45,1
280,45,1
281,45,1
282,45,1
283,45,1
284,45,1
285,45,1
286,45,1
287,45,1
288,45,1
289,45,1
290,45,1
291,45,1
292,45,1
293,45,1
294,45,1
295,45,1
296,45,1
297,45,1
298,45,1
299,45,1
300,45,1
301,45,1
302,45,1
303,45,1
304,45,1
305,45,1
306,45,1
307,45,1
308,45,1
309,45,1
310,45,1
311,45,1
312,45,1
313,45,1
314,45,1
315,45,1
316,45,1
317,45,1
318,45,1
319,45,1
320,45,1
321,45,1
322,45,1
323,45,1
324,45,1
325,45,1
326,45,1
327,45,1
328,45,1
329,45,1
330,45,1
331,45,1
332,45,1
333,45,1
334,45,1
335,45,1
336,45,1
337,45,1
338,45,1
339,45,1
340,45,1
341,45,1
342,45,1
343,45,1
344,45,1
345,45,1
346,45,1
347,45,1
348,45,1
349,45,1
350,45,1
351,45,1
352,45,1
353,45,1
354,45,1
355,45,1
356,45,1
357,45,1
358,45,1
359,45,1
360,45,1
361,45,1
362,45,1
363,45,1
364,45,1
365,45,1
366,45,1
367,45,1
368,45,1
369,45,1
370,45,1
371,45,1
372,45,1
373,45,1
374,45,1
375,45,1
376,45,1
377,45,1
378,45,1
379,45,1
380,45,1
381,45,1
382,45,1
383,45,1
384,45,1
385,45,1
386,45,1
387,45,1
388,45,1
389,45,1
390,45,1
391,45,1
392,45,1
393,45,1
394,45,1
395,45,1
396,45,1
397,45,1
398,45,1
399,45,1
400,45,1
401,45,1
402,45,1
403,45,1
404,45,1
405,45,1
406,45,1
407,45,1
408,45,1
409,45,1
410,45,1
411,45,1
412,45,1
413,45,1
414,45,1
415,45,1
416,45,1
417,45,1
418,45,1
419,45,1
420,45,1
421,45,1
422,45,1
423,45,1
424,45,1
425,45,1
426,45,1
427,45,1
428,45,1
429,45,1
430,45,1
431,45,1
432,45,1
433,45,1
434,45,1
435,45,1
436,45,1
437,45,1
438,45,1
439,45,1
440,45,1
441,45,1
442,45,1
443,45,1
444,45,1
445,45,1
446,45,1
447,45,1
448,45,1
449,45,1
450,45,1
451,45,1
452,45,1
453,45,1
454,45,1
455,45,1
456,45,1
457,45,1
458,45,1
459,45,1
460,45,1
461,45,1
462,45,1
463,45,1
464,45,1
465,45,1
466,45,1
467,45,1
468,45,1
469,45,1
470,45,1
471,45,1
472,45,1
473,45,1
474,45,1
475,45,1
476,45,1
477,45,1
478,45,1
479,45,1
480,45,1
481,45,1
482,45,1
483,45,1
484,45,1
485,45,1
486,45,1
487,45,1
488,45,1
489,45,1
490,45,1
491,45,1
492,45,1
493,45,1
494,45,1
495,45,1
496,45,1
497,45,1
498,45,1
499,45,1
500,45,1
501,45,1
502,45,1
503,45,1
504,45,1
505,45,1
506,45,1
507,45,1
508,45,1
509,45,1
510,45,1
511,45,1
512,45,1
513,45,1
514,45,1
515,45,1
516,45,1
517,45,1
518,45,1
519,45,1
520,45,1
521,45,1
522,45,1
523,45,1
524,45,1
525,45,1
526,45,1
527,45,1
528,45,1
529,45,1
530,45,1
531,45,1
532,45,1
533,45,1
534,45,1
535,45,1
536,45,1
537,45,1
538,45,1
539,45,1
540,45,1
541,45,1
542,45,1
543,45,1
544,45,1
545,45,1
546,45,1
547,45,1
548,45,1
549,45,1
550,45,1
551,45,1
552,45,1
553,45,1
554,45,1
555,45,1
556,45,1
557,45,1
558,45,1
559,45,1
560,45,1
561,45,1
562,45,1
563,45,1
564,45,1
565,45,1
566,45,1
567,45,1
568,45,1
569,45,1
570,45,1
571,45,1
572,45,1
573,45,1
574,45,1
575,45,1
576,45,1
577,45,1
578,45,1
579,45,1
580,45,1
581,45,1
582,45,1
583,45,1
584,45,1
585,45,1
586,45,1
587,45,1
588,45,1
589,45,1
590,45,1
591,45,1
592,45,1
593,45,1
594,45,1
595,45,1
596,45,1
597,45,1
598,45,1
599,45,1
600,45,1
601,45,1
602,45,1
603,45,1
604,45,1
605,45,1
606,45,1
607,45,1
608,45,1
609,45,1
610,45,1
611,45,1
612,45,1
613,45,1
614,45,1
615,45,1
616,45,1
617,45,1
618,45,1
619,45,1
620,45,1
621,45,1
622,45,1
623,45,1
624,45,1
625,45,1
626,45,1
627,45,1
628,45,1
629,45,1
630,45,1
631,45,1
632,45,1
633,45,1
634,45,1
635,45,1
636,45,1
637,45,1
638,45,1
639,45,1
640,45,1
641,45,1
642,45,1
643,45,1
644,45,1
645,45,1
646,45,1
647,45,1
648,45,1
649,45,1
650,45,1
651,45,1
652,45,1
653,45,1
654,45,1
655,45,1
656,45,1
657,45,1
658,45,1
659,45,1
660,45,1
661,45,1
662,45,1
663,45,1
664,45,1
665,45,1
666,45,1
667,45,1
668,45,1
669,45,1
670,45,1
671,45,1
672,45,1
673,45,1
674,45,1
675,45,1
676,45,1
677,45,1
678,45,1
679,45,1
680,45,1
681,45,1
682,45,1
683,45,1
684,45,1
685,45,1
686,45,1
687,45,1
688,45,1
689,45,1
690,45,1
691,45,1
692,45,1
693,45,1
694,45,1
695,45,1
696,45,1
697,45,1
698,45,1
699,45,1
700,45,1
701,45,1
702,45,1
703,45,1
704,45,1
705,45,1
706,45,1
707,45,1
708,45,1
709,45,1
710,45,1
711,45,1
712,45,1
713,45,1
714,45,1
715,45,1
716,45,1
717,45,1
718,45,1
719,45,1
720,45,1
721,45,1
722,45,1
723,45,1
724,45,1
725,45,1
726,45,1
727,45,1
728,45,1
729,45,1
730,45,1
731,45,1
732,45,1
733,45,1
734,45,1
735,45,1
